#RESOURCE=yCat_120590137
#Name: J/AcA/59/137
#Title: ASAS Galactic fundamental mode RR Lyrae stars (Szczygiel+, 2009)
#Table	J_AcA_59_137_table1:
#Name: J/AcA/59/137/table1
#Title: Fourier parameters for 1423 ASAS RRab stars
#Column	a0	(F9.6)	a0 Fourier parameter	[ucd=stat.fit.param]
#Column	a1	(F9.6)	a1 Fourier parameter	[ucd=stat.fit.param]
#Column	phi1	(F9.6)	{phi}1 Fourier parameter	[ucd=stat.fit.param]
#Column	a2	(F9.6)	a2 Fourier parameter	[ucd=stat.fit.param]
#Column	phi2	(F9.6)	{phi}2 Fourier parameter	[ucd=stat.fit.param]
#Column	a3	(F9.6)	a3 Fourier parameter	[ucd=stat.fit.param]
#Column	phi3	(F9.6)	{phi}3 Fourier parameter	[ucd=stat.fit.param]
#Column	a4	(F9.6)	a4 Fourier parameter	[ucd=stat.fit.param]
#Column	phi4	(F9.6)	{phi}4 Fourier parameter	[ucd=stat.fit.param]
#Column	a5	(F9.6)	a5 Fourier parameter	[ucd=stat.fit.param]
#Column	phi5	(F9.6)	{phi}5 Fourier parameter	[ucd=stat.fit.param]
#Column	a6	(F9.6)	a6 Fourier parameter	[ucd=stat.fit.param]
#Column	phi6	(F9.6)	{phi}6 Fourier parameter	[ucd=stat.fit.param]
#a0	a1	phi1	a2	phi2	a3	phi3	a4	phi4	a5	phi5	a6	phi6
#mag	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad
#---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------
13.218147	 0.331271	 4.077823	-0.152847	 0.997716	 0.027864	 4.469598	 0.069550	 5.139867	-0.022949	 1.460798	-0.014837	 5.091078
10.297432	-0.403154	 0.824825	-0.199569	 0.794537	-0.143373	 1.173970	-0.094587	 1.476865	-0.068305	 1.891832	 0.041709	 5.338575
13.707506	 0.332618	 4.227966	 0.139887	 4.702861	 0.096769	 5.274827	 0.048811	 5.484760	 0.021649	 6.267479	 0.025654	 4.570685
13.884906	 0.202237	 5.653074	-0.012572	 0.305086	-0.009592	 1.402724	-0.014767	 1.021804	-0.004315	 1.292261	-0.010850	 5.475803
13.642218	-0.260321	 0.962816	-0.122259	 1.068784	-0.096877	 1.498875	 0.050653	 5.041637	 0.035235	 6.184905	-0.011657	 5.396069
12.827940	 0.308326	 4.069132	-0.104619	 1.025773	-0.101346	 1.035370	 0.087958	 4.807644	-0.059098	 2.063380	 0.037082	 5.912157
12.090822	-0.242468	 1.015808	-0.105976	 1.357830	 0.072171	 5.189580	 0.028627	 0.089640	 0.010057	 1.083836	-0.012968	 5.418094
14.229090	 0.408957	 4.332104	-0.175214	 1.627561	 0.124134	 5.373357	-0.058366	 5.072740	 0.033605	 5.508673	-0.028346	 4.670906
13.813491	 0.236713	 4.132075	-0.132632	 1.588163	 0.048264	 5.267064	 0.019187	 5.619407	 0.010090	 0.033931	-0.021209	 0.261510
13.543977	-0.231052	 0.722367	-0.126398	 1.048598	-0.057239	 1.268365	-0.031783	 2.212569	-0.024383	 1.711914	 0.019324	 1.501759
